local_name,game_1,game_2,game_3,game_4,game_5,game_6,game_7,game_8,game_9,game_10,,,,,,,,,,,,,,,,,,Other Notes,Last Update
SuperCombo.gg Presents: The Dojo,GBVSR,SF6,Tekken,UNI,GGST,,,,,,,,,,,,,,,,,,,,,,,,2024.0129
Kinx Gaming Lounge,SF6,Tekken,GGST,,,,,,,,,,,,,,,,,,,,,,,,,Happens around the 15th - 23rd of each month,2024.0727
FGCA Monthly,Tekken,SF6,GGST,SSBM,SSBU,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
FGCA Weekly,Tekken,SF6,GGST,SSBM,SSBU,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
CPH Esport Club,SSBU,SSBM,SF6,BBCF,GGST,GBVSR,Tekken,,,,,,,,,,,,,,,,,,,,,,2024.0118
Arkade Bar,GGST,SF6,Tekken,DBFZ,KOFXV,UNI,MBTL,Others,,,,,,,,,,,,,,,,,,,,,2024.0118
Kauppakatu 44,GGST,GBVSR,SF6,Tekken,MK1,BBCF,UNI,Others,,,,,,,,,,,,,,,,,,,,,2024.0118
Save File Weeklies,Tekken,SF6,GGST,KOFXV,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Turpakellari,SF6,Tekken,GBVSR,GGST,KOFXV,Others,,,,,,,,,,,,,,,,,,,,,,,2024.0118
ANC Smashweekly,SSBU,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,On break every June-August,2024.0118
GuardImpact,SF6,SSBU,SC6,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
SWGA,SF6,GGST,GGXrd,Tekken,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
LaDOSE,SSF2T,3S,VSav,Tekken,SF6,KOFXV,UNI,GGXrd,GBVSR,Others,,,,,,,,,,,,,,,,,,,2024.0118
Beat by 44,SF6,GBVSR,Tekken,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
KnockOut Zone,SSBU,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Oni's Last Impact,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Les Ranking Rennais,SF6,Tekken,GGST,KOFXV,SSF2T,3S,Others,,,,,,,,,,,,,,,,,,,,,,2024.0118
Super Smash Breizh ,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dissolved as of Feb 22 2024, source",2024.0402
Weekly Freeplay,SF6,Tekken,GGST,KOFXV,3S,Others,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Toulouse Versus Fighters,SF6,GGST,Tekken,MK1,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Berlin FGC,SF6,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
VirtuaSmash,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Bunker Fights,SF6,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
MadGear FFM,SF6,GBVSR,GGXXACR,GGXrd,GGST,BBCF,Tekken,Others,,,,,,,,,,,,,,,,,,,,,2024.0118
Freiburg eSports e.V.,SF6,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Bare Knuckle Altona,SF6,Tekken,KOFXV,Anime Etc,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Fight Club Karlsruhe,GGST,SF6,Tekken,MK1,SSBU,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Core Gamer Treff Casuals,SF6,Tekken,GBVSR,SSBU,,,,,,,,,,,,,,,,,,,,,,,,Also open for casuals Friday & Saturday,2024.0118
Core Gamer Treff Monthlies,SF6,Tekken,GBVSR,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Insert Game,SF6,KOFXI,VF5,KOF98,Retro,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Cologne Fight Night,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
LOK Dojo,Tekken,SF6,GGST,MK1,DBFZ,BBCF,,,,,,,,,,,,,,,,,,,,,,Contact for address,2024.0118
Níðhöggur,SF6,Tekken,GGST,GBVSR,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0215
Zoners Paradise,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0215
Saturday Spar Sessions,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Sunday Spar Sessions,SSBU,SSBM,SF6,Anime Etc,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Fighting Gamers Jogja (FAIJO),Tekken,GGST,SF6,GBVSR,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
CrossPlay,Various,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Drop The Cap,GBVSR,SF6,Tekken,GGST,BBCF,MBTL,DFCI,Others,,,,,,,,,,,,,,,,,,,,,2024.0118
FightHouse Weeklies,SF6,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Freestyle Bar Pit,,,,,,,,,,,,,,,,,,,,,,,,,,,,source,2024.0122
Game Bar Bridge,GGST,SF6,Tekken,UNI,,,,,,,,,,,,,,,,,,,,,,,,"Runs multiple times a week with various games, check FuguTabetai's page",2024.0402
Tatakai Tuesday,GGST,Tekken,UNI,MBTL,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0402
ShotBar Lucy,Tekken,SF6,MBTL,KOFXV,,,,,,,,,,,,,,,,,,,,,,,,"Runs multiple times a week with various games, check FuguTabetai's page",2024.0402
Retro Multiplayer,Tekken,SF6,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
UniCon Cafe Riga,Tekken,SF6,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
World of Games,Tekken,SF6,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Fighting Corner Lux,MK1,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Central Smash Series,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Atlas Gamers,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0714
Atlas Gamers,SF6,UMvC3,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0714
Astral Finish,SF6,GBVSR,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
That Green Stuff,SF6,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0621
ZeroFundies,GGXrd,BBCF,Anime Etc,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Project Lucia,GGST,GGXrd,Rivals,Anime Etc,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Strike Zone,GGST,SF6,GBVSR,SC2,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
GameNest,SF6,GGST,GBVSR,Retro,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Auckland Ranbats,SF6,Tekken,GBVSR,GGST,UMvC3,MK1,,,,,,,,,,,,,,,,,,,,,,On break until March 2 2024,2024.0118
Fighting Monthlies,GGST,SSBU,Tekken,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Hambats Mighty Monthly,Tekken,SF6,MK1,SSBU,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0119
Wellington Ranbats,SSBU,MK1,SF6,Tekken,GGST,SSBM,Rivals,KOFXV,GBVSR,P4AU,,,,,,,,,,,,,,,,,,,2024.0118
Suya Battles,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
GG Bergen,BBCF,GGST,SF6,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
House of Fighters,SF6,Tekken,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
FRAME,SSBM,SSBU,SF6,Tekken,GGST,,,,,,,,,,,,,,,,,,,,,,,"May be Sunday instead, which day they can get may be back & forth",2024.0118
Maniax,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Hilltop Gaming Lounge,Tekken,SSBU,SF6,,,,,,,,,,,,,,,,,,,,,,,,,Game changes each week,2024.0118
Get to Cup,GGST,SF6,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,,Contact for address,2024.0118
Igrotusa,MK1,Tekken,SF6,GGST,Skullgirls,SSBU,,,,,,,,,,,,,,,,,,,,,,,2024.0402
FightersGCC,Anime Etc,KOFXV,SF6,UMvC3,Tekken,Others,,,,,,,,,,,,,,,,,,,,,,Contact for address,2024.0118
Airdasher SG,GBVSR,UNI,MBTL,UMvC3,DBFZ,BBCF,GGST,Others,,,,,,,,,,,,,,,,,,,,,2024.0118
rAge Drive,SF6,Tekken,MK1,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
GGALC Ecorp,GGST,SF6,GBVSR,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
MadridFGC,Tekken,SF6,GBVSR,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Fighting Games Zaragoza Bracket,SSBU,SF6,DBFZ,GBVSR,Tekken,SSBM,P+,,,,,,,,,,,,,,,,,,,,,,2024.0118
Fighting Games Zaragoza Casuals,SSBU,SF6,DBFZ,GBVSR,Tekken,SSBM,P+,,,,,,,,,,,,,,,,,,,,,,2024.0118
Inferno Online Ranking Battle,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0119
Kappa Bar Casuals,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0119
Stockholm Smackdown,Tekken,SF6,GGST,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Spacing,Tekken,SF6,GGST,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Monthly Mash,GBVSR,SF6,UNI,3S,Others,,,,,,,,,,,,,,,,,,,,,,,Tournaments vary between normal double elim and fun gimmicks,2024.0118
Versus Wednesdays,GGST,Tekken,SF6,DBFZ,UNI,Others,,,,,,,,,,,,,,,,,,,,,,,2024.0118
HardRead Monthly,GGST,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
HardRead Weeklies,SF6,UNI,GGST,Tekken,GBVSR,3S,GGXrd,DBFZ,KOFXV,Others,,,,,,,,,,,,,,,,,,"Games rotate, check the site",2024.0118
Airdasher Thailand,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
StrikeDown,MBTL,3S,Others,,,,,,,,,,,,,,,,,,,,,,,,,"No set venue; conventions in İstanbul & Ankara, occasionally in Kadıköy",2024.0118
Titans Clash,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Waistman Weeklies,SF6,GGST,Tekken,GBVSR,3S,Mystery,Others,,,,,,,,,,,,,,,,,,,,,,2024.0118
Tender Loving Cancels,SF6,GGST,,,,,,,,,,,,,,,,,,,,,,,,,,Venue open from 4PM to 9PM,2024.0118
Sunday Face Off Tournaments,SF6,Tekken,GBVSR,GGST,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Sunday Face Off Casuals,SF6,Tekken,GBVSR,GGST,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
MerseyBeats,SF6,Tekken,GGST,GGXrd,GBVSR,UNI,BBCF,SamSho,Others,,,,,,,,,,,,,,,,,,,Games change every week; no entry fee for casuals,2024.0118
Merseyside FGC Monthly,SF6,Tekken,GGST,GGXrd,GBVSR,UNI,BBCF,SamSho,Others,,,,,,,,,,,,,,,,,,,Games change every week; no entry fee for casuals,2024.0118
The Fight Lab,Tekken,SF6,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Fight Series,Tekken,SF6,GGST,Others,,,,,,,,,,,,,,,,,,,,,,,,"One game per month; day depends on venue availability, check links",2024.0120
Manchester Battle Arena,SF6,Tekken,GGST,SC6,Others,,,,,,,,,,,,,,,,,,,,,,,Free entry for casuals,2024.0120
Newcastle Fight Club,SF6,MK1,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Albion Games,SSBU,SF6,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
NeoMax,SSBU,SSBM,GGST,SF6,,,,,,,,,,,,,,,,,,,,,,,,GGST & SF6 alternate between each other,2024.0118
Reset Aberdeen,SF6,Tekken,SSBU,Anime Etc,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Giant Attack,GBVSR,GGST,SF6,UNI,Tekken,,,,,,,,,,,,,,,,,,,,,,,Games rotate,2024.0118
Rushdown Edinburgh,SF6,Tekken,Retro,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Burn to Fight Glasgow,SF6,Tekken,GBVSR,Others,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Battle Lounge Fife,SF6,Tekken,KI,GGST,Retro,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Odesa Local FGC,GGST,Tekken,SF6,,,,,,,,,,,,,,,,,,,,,,,,,Contact for address,2024.0118
NCA Live,Tekken,MK1,GGST,SF6,Others,,,,,,,,,,,,,,,,,,,,,,,Contact for address,2024.0118
Heavy Kickback,SF6,GGST,BBCF,MK1,UNI,Tekken,,,,,,,,,,,,,,,,,,,,,,Contact for address,2024.0118
Versus Huntsville,SSBU,SSBM,GGST,SF6,Rivals,P+,Mystery,,,,,,,,,,,,,,,,,,,,,,2024.0118
Monday Night Combat,GGST,GBVSR,Tekken,SF6,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Reignited,SF6,Tekken,GGST,BBCF,Various,,,,,,,,,,,,,,,,,,,,,,,Weekly when ASU is in session; contact Arconi on AZ Airdashers Discord,2024.0610
MKO Free Casuals Day,Tekken,SF6,GGST,GBVSR,UNI,,,,,,,,,,,,,,,,,,,,,,,Alternates weeks with the tournament version,2024.0610
MKO!,Tekken,SF6,GGST,GBVSR,UNI,,,,,,,,,,,,,,,,,,,,,,,Alternates weeks with the casuals version,2024.0610
Phoenix Locals,SF6,Tekken,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Secret Lab,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
UAT Potluck,Various,Mystery,,,,,,,,,,,,,,,,,,,,,,,,,,Contact @kenja in the AZ Airdashers Discord,2024.0610
Tucson Locals,Tekken,SF6,Others,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Bears by the Maul Gaming Lounge,Tekken,UNI,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Southside Dojo,SF6,GBVSR,GGST,DBFZ,UNI,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
MADHouse,SF6,MK1,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
SlugFest,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Tech City Tekken,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Versus Reborn,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Caliburst,GGXrd,Skullgirls,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
NorCal Dogfight,UNI,GBVSR,GGXXACR,GGST,Anime Etc,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Guildhouse Esports Thursday,SF6,SSBM,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Guildhouse Esports Wednesday,GGST,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
NorCalibur,SC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Astral Beatdown,GBVSR,BBCF,MBTL,Others,,,,,,,,,,,,,,,,,,,,,,,,2nd Saturday,2024.0118
King's Cup,SF6,GGST,GBVSR,MK1,KOFXV,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
(S)Mashup Sunday,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0610
Flashkick Friday,Tekken,SF6,KOFXV,GGST,GBVSR,MK1,UNI,,,,,,,,,,,,,,,,,,,,,,2024.0610
Game Play Monthlies,Tekken,SSBU,SF6,MK1,KOFXV,GBVSR,GGST,UNI,,,,,,,,,,,,,,,,,,,,,2024.0610
Super Smashdown,SSBU,Remix,,,,,,,,,,,,,,,,,,,,,,,,,,First Sunday of every month,2024.0219
High Desert Fury,MK1,SF6,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0215
Tuesday Throwdown,SSBU,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0215
Bonus Fruit Brawl,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Chains of Fate Monthly,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0610
Conflux Gaming,SSBU,SF6,MK1,GGST,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Fire & Ice Games,SF6,GGST,SSBU,SSBM,P+,SSB64,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Tag Battle,GGXrd,GGST,GBVSR,UNI,BBCF,DFCI,Others,,,,,,,,,,,,,,,,,,,,,4th Saturday,2024.0118
Synchronicity,SF6,GGST,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Zenith Active Frames,GGST,UNI,SF6,MBAACC,Tekken,Others,,,,,,,,,,,,,,,,,,,,,,,2024.0118
FGC at UCLA,GBVSR,SF6,Tekken,UNI,KOFXV,MBAACC,GGST,Mystery,Others,,,,,,,,,,,,,,,,,,,"Games list changes, see discord",2024.0118
Battle Garden,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Down Back Tuesdays,SF6,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Thirsty Thursday Casuals 21+,SF6,3S,Retro,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
ELA Battles: Square-UP!,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Cal Poly Pomona FGC Casuals,SF6,GGST,Tekken,GBVSR,DBFZ,Others,,,,,,,,,,,,,,,,,,,,,,,2024.0119
FragFest,SF6,GGST,Tekken,GBVSR,DBFZ,Others,,,,,,,,,,,,,,,,,,,,,,"Happens once per semester, look to social links for more info",2024.0119
Contender Colosseum,SF6,GGST,Tekken,GBVSR,UNI,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Contender Colosseum Clash,SF6,GGST,Tekken,KOFXV,GBVSR,UNI,,,,,,,,,,,,,,,,,,,,,,Games list changes each month,2024.0118
Don's Arcade,SSF2T,3S,VSav,MvC2,CvS2,SF6,Retro,Others,,,,,,,,,,,,,,,,,,,,,2024.0204
Side Step Saturday,SF6,Tekken,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Extraordinaire Arcade,SSBU,MK1,Tekken,SF6,,,,,,,,,,,,,,,,,,,,,,,,Games list rotates each month,2024.0727
Game Realms,SF6,MK1,Skullgirls,GGST,GGXrd,KOFXV,GBVSR,,,,,,,,,,,,,,,,,,,,,,2024.0118
Calle de Joestar,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
0-2uesdays,GGST,SF6,,,,,,,,,,,,,,,,,,,,,,,,,,No longer exists as of May 21 2024,2024.0610
Fullerton Fights,SF6,GGST,Tekken,GBVSR,UNI,MBTL,,,,,,,,,,,,,,,,,,,,,,No longer exists as of May 21 2024,2024.0610
Game Lab Mega Monthly,GGST,UNI,GBVSR,MBTL,SF6,MK1,KOFXV,Tekken,Others,,,,,,,,,,,,,,,,,,,"2nd to last Saturday & Sunday, 2-day event",2024.0118
Game Lab Smash,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
The Shop Showdowns,SSBU,SF6,MK1,Tekken,,,,,,,,,,,,,,,,,,,,,,,,"Frequency is actually 3 times per month, check the links",2024.0118
Tip the Scales,SSBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Buttons on Wake-Up Monthly,Tekken,SF6,GGST,GBVSR,Anime Etc,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
Buttons on Wake-Up Weekly,Tekken,SF6,GGST,GBVSR,Anime Etc,,,,,,,,,,,,,,,,,,,,,,,,2024.0118
